Mine,Latitude,Longitude,Blue_B02,Green_B03,Red_B04,NIR_B08,SWIR1_B11,SWIR2_B12,NDVI,Distance_to_Manganese_km,Manganese_Presence,Lithology,GLiM_ID,Elevation_mean_m,Elevation_min_m,Elevation_max_m,Slope_mean_degrees,Slope_min_degrees,Slope_max_degrees,LST_mean_C,LST_min_C,LST_max_C
Kandri,21.398115712114777,79.2588692075093,0.2372,0.257,0.2774,0.348,0.3649,0.3238,0.11288776,0.2187643849614813,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Beldongri,21.36376050195143,79.2731605178608,0.1608,0.1856,0.1795,0.3752,0.324,0.2426,0.35280332,2.065951581258621,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Gumgaon,21.393112240023104,78.95939923485392,0.1612,0.1843,0.2112,0.323,0.3622,0.2857,0.20928493,2.611545500911047,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Balaghat,21.86123236503332,80.22331144539802,0.2007,0.2384,0.2838,0.3635,0.4771,0.4086,0.12312682,2.109384784778378,0,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Ukwa,21.964167652394973,80.48560628023849,0.1432,0.1612,0.2058,0.2912,0.3762,0.3236,0.17183101,0.296472514546517,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Dongri_Buzurg,21.57227282313037,79.67280714929561,0.1538,0.1822,0.1712,0.3713,0.306,0.2191,0.36884794,3.811182331809043,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Beldongri,21.32203709644325,79.29138596726338,0.1916,0.222,0.244,0.4027,0.3661,0.2755,0.24539971,3.193120940352555,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Beldongri,21.35045007515249,79.29645603313419,0.1585,0.1934,0.1917,0.3845,0.2709,0.1935,0.33460602,0.4176050455598258,1,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Balaghat,21.82965174800988,80.2316097494772,0.1492,0.162,0.1614,0.3806,0.2943,0.2213,0.40442804,0.4096009996366034,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Beldongri,21.349063643606087,79.30225691457223,0.1644,0.2026,0.2096,0.4764,0.3002,0.2067,0.38892126,0.2026258042347135,1,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Ukwa,21.96326846966756,80.48696544396275,0.1522,0.1638,0.2052,0.3194,0.4036,0.3475,0.21768968,0.4662999759907426,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
